ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
40026425;51,6;35,9;36;28,5;28,3;-72,1;0,49;0;-0,01;-0,49;0;0;0,0029;0;0,1512;0;52;358;33,6962;0;28;0,056;-0,042;40025428;0,0029;0;0,1512;0;1,013;229,555;0;0,04;0;0,753;5,186;1;40025447;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40026481;51,6;35,9;35,9;28,4;28,3;-72,3;0,44;0;0;-0,44;0;0;0,0029;0;0,1512;0;52;358;33,1832;0;28;0,057;-0,039;40026426;0,0029;0;0,1512;0;1,013;229,547;0;0,21;0;0,753;5,186;1;40026437;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40026577;51,6;35,8;36,1;28,5;28,3;-73;0,43;0;0;-0,42;0;0;0,0029;0;0,1512;0;52;358;32,9129;0;28;0,058;-0,038;40026483;0,0029;0;0,1512;0;1,013;229,547;0;0,66;0;0,753;5,186;1;40026530;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40026644;51,6;35,8;36;28,4;28,2;-72,9;0,43;0;0,01;-0,43;0;0;0,0029;0;0,1512;0;52;358;32,7367;0;28;0,058;-0,039;40026578;0,0029;0;0,1512;0;1,013;229,548;0;0,45;0;0,753;5,186;1;40026595;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40026709;51,6;35,8;36;28,3;28,2;-72,7;0,51;0;0;-0,5;0;0;0,0029;0;0,1512;0;52;358;32,7657;0;28;0,058;-0,038;40026644;0,0029;0;0,1512;0;1,013;229,548;0;0,15;0;0,753;5,186;1;40026662;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40026753;51,6;35,8;35,9;28,2;28,1;-72,5;0,4;0;0;-0,39;0;0;0,0029;0;0,1512;0;52;358;32,3134;0;28;0,058;-0,039;40026732;0,0029;0;0,1512;0;1,013;229,549;0;0,4;0;0,753;5,186;1;40026732;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40026820;51,6;35,8;35,9;28,4;28,2;-72,4;0,46;0;0,03;-0,45;0;0;0,0029;0;0,1512;0;52;358;32,258;0;28;0,058;-0,038;40026732;0,0029;0;0,1512;0;1,013;229,549;0;0,4;0;0,753;5,186;1;40026732;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40026889;51,6;35,8;35,9;28,3;28,1;-72,3;0,41;0;0,02;-0,4;0;0;0,0029;0;0,1512;0;52;358;32,0125;0;28;0,058;-0,037;40026821;0,0029;0;0,1512;0;1,013;229,55;0,02;-0,18;0;0,753;5,186;1;40026844;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40026957;51,6;35,9;35,8;28,3;28,1;-72,4;0,48;0;0,02;-0,48;0;0;0,0029;0;0,1512;0;52;358;31,8219;0;28;0,058;-0,038;40026889;0,0029;0;0,1512;0;1,013;229,551;0;0,12;0;0,753;5,186;1;40026911;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027035;51,6;35,9;35,8;28,3;28,1;-72,8;0,45;0;0,03;-0,44;0;0;0,0029;0;0,1512;0;52;358;31,3576;0;28;0,058;-0,037;40026981;0,0029;0;0,1512;0;1,013;229,553;0;0,36;0;0,753;5,186;1;40026981;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027073;51,6;35,8;35,8;28,2;28;-72,9;0,44;0;0,01;-0,44;0;0;0,0029;0;0,1512;0;52;358;31,259;0;28;0,059;-0,037;40026981;0,0029;0;0,1512;0;1,013;229,553;0;0,36;0;0,753;5,186;1;40026981;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027122;51,6;35,9;35,8;28,3;28,1;-72,9;0,34;0;0,03;-0,33;0;0;0,0029;0;0,1512;0;52;358;31,1579;0;28;0,058;-0,035;40027073;0,0029;0;0,1512;0;1,013;229,554;0;0,37;0;0,753;5,186;1;40027090;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027157;51,6;35,8;36;28,4;28,2;-72,8;0,26;0;0,03;-0,26;0;0;0,0029;0;0,1512;0;52;358;31,2953;0;28;0,058;-0,036;40027123;0,0029;0;0,1512;0;1,013;229,555;0;-0,25;0;0,753;5,186;1;40027090;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027236;51,6;35,9;35,9;28,3;28,1;-72,8;0,31;0;0,03;-0,3;0;0;0,0029;0;0,1512;0;52;358;31,0231;0;28;0,058;-0,036;40027170;0,0029;0;0,1512;0;1,013;229,556;0;0,28;0;0,753;5,186;1;40027187;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027294;51,6;35,8;35,9;28,3;28,1;-72,6;0,27;0;0,02;-0,26;0;0;0,0029;0;0,1512;0;52;358;31,1719;0;28;0,059;-0,036;40027237;0,0029;0;0,1512;0;1,013;229,556;0;-0,24;0;0,753;5,186;1;40027247;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027361;51,6;35,9;35,9;28,2;28;-72,3;0,22;0;0,03;-0,21;0;0;0,0029;0;0,1512;0;52;358;30,8713;0;28;0,059;-0,036;40027295;0,0029;0;0,1512;0;1,013;229,557;0;-0,21;0;0,753;5,186;1;40027315;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027451;51,6;35,9;35,9;28,4;28,2;-72,4;0,3;0;0,02;-0,29;0;0;0,0029;0;0,1512;0;52;358;31,0006;0;28;0,059;-0,035;40027361;0,0029;0;0,1512;0;1,013;229,557;0;0,21;0;0,753;5,186;1;40027406;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027519;51,6;35,9;35,9;28,3;28,1;-72,4;0,29;0;0,02;-0,28;0;0;0,0029;0;0,1512;0;52;358;30,9266;0;28;0,059;-0,035;40027451;0,0029;0;0,1512;0;1,013;229,558;0;-0,27;0;0,753;5,186;1;40027474;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027608;51,6;35,9;35,9;28,3;28,1;-72,5;0,24;0;0,03;-0,23;0;0;0,0029;0;0,1512;0;52;358;30,7408;0;28;0,059;-0,036;40027520;0,0029;0;0,1512;0;1,013;229,559;0;-0,1;0;0,753;5,186;1;40027541;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027676;51,6;35,9;35,8;28,2;28,1;-72,4;0,31;0;0,01;-0,3;0;0;0,0029;0;0,1512;0;52;358;30,6468;0;28;0,059;-0,036;40027609;0,0029;0;0,1512;0;1,013;229,56;0;-0,23;0;0,753;5,186;1;40027632;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027745;51,6;35,8;35,9;28,3;28,2;-72,8;0,36;0;0,03;-0,34;0;0;0,0029;0;0,1512;0;52;358;30,3907;0;28;0,059;-0,036;40027699;0,0029;0;0,1512;0;1,013;229,56;0;-0,09;0;0,753;5,186;1;40027721;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027810;51,6;35,9;36;28,5;28,3;-72,8;0,41;0;0,04;-0,4;0;0;0,0029;0;0,1512;0;52;358;30,2071;0;28;0,059;-0,036;40027746;0,0029;0;0,1512;0;1,013;229,56;0;0,04;0;0,753;5,186;1;40027721;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027930;51,6;35,9;36,1;28,5;28,3;-74,1;0,37;0;0,01;-0,36;0;0;0,0029;0;0,1512;0;52;358;30,0823;0;28;0,06;-0,035;40027811;0,0029;0;0,1512;0;1,013;229,561;0;-0,06;0;0,753;5,186;1;40027834;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
40027992;51,6;35,9;36;28,3;28,2;-72,9;0,48;0;0,04;-0,48;0;0;0,0029;0;0,1512;0;52;358;30,0021;0;28;0,06;-0,036;40027930;0,0029;0;0,1512;0;1,013;229,56;0;-0,14;0;0,753;5,186;1;40027951;0;0;0;0;0;0;0;0;0;-1;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
