# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	268	-290	24	945	860	855
0.0001	274	-288	16	945	861	855
0.0002	278	-292	14	946	863	854
0.0003	276	-288	12	946	864	854
0.0004	287	-287	1	946	865	854
0.0005	290	-294	6	947	867	853
0.0006	288	-294	8	947	868	853
0.0007	296	-292	-4	947	869	853
0.0008	298	-294	-2	948	871	852
0.0009	294	-296	2	948	872	852
0.001	306	-296	-10	948	873	852
0.0011	310	-296	-12	948	875	851
0.0012	308	-298	-8	949	876	851
0.0013	313	-299	-13	949	877	851
0.0014	307	-303	-3	949	878	851
0.0015	319	-305	-13	949	880	851
0.0016	315	-307	-7	949	881	850
0.0017	323	-301	-21	950	882	850
0.0018	315	-297	-17	950	884	850
0.0019	320	-296	-24	950	886	850
0.002	324	-298	-26	950	887	850
0.0021	319	-285	-33	950	888	850
0.0022	324	-282	-40	950	889	850
0.0023	317	-283	-33	950	891	850
0.0024	315	-273	-41	950	893	849
0.0025	322	-268	-54	950	894	849
0.0026	312	-266	-44	950	895	849
0.0027	311	-255	-55	951	897	849
0.0028	316	-248	-68	951	898	849
0.0029	305	-245	-59	951	900	849
0.003	307	-235	-71	951	901	849
0.0031	306	-226	-80	951	902	849
0.0032	298	-222	-74	951	904	849
0.0033	298	-214	-82	950	905	849
0.0034	296	-204	-90	950	907	849
0.0035	291	-203	-87	950	908	849
0.0036	284	-190	-94	950	909	850
0.0037	286	-182	-102	950	911	850
0.0038	275	-179	-95	950	912	850
0.0039	274	-166	-108	950	913	850
0.004	272	-158	-112	950	915	850
0.0041	266	-158	-106	950	916	850
0.0042	258	-144	-114	950	917	850
0.0043	258	-134	-124	949	918	850
0.0044	252	-132	-120	949	920	851
0.0045	254	-126	-128	949	921	851
0.0046	250	-114	-134	949	922	851
0.0047	243	-111	-131	949	924	851
0.0048	246	-100	-144	948	926	852
0.0049	245	-93	-151	948	927	852
0.005	238	-84	-152	948	928	852
0.0051	236	-74	-162	948	929	852
0.0052	238	-58	-178	947	931	853
0.0053	231	-55	-175	947	932	853
0.0054	232	-44	-186	947	933	853
0.0055	224	-34	-188	946	935	854
0.0056	221	-31	-189	946	936	854
0.0057	226	-22	-204	946	937	854
0.0058	225	-13	-211	945	938	855
0.0059	222	-10	-210	945	939	855
0.006	221	-7	-211	945	941	855
0.0061	234	-6	-226	944	942	856
0.0062	232	-8	-224	944	943	856
0.0063	236	-4	-232	943	944	856
0.0064	241	-3	-237	941	944	855
0.0065	236	-4	-232	940	945	855
0.0066	242	0	-242	939	945	855
0.0067	251	1	-251	938	945	855
0.0068	247	-5	-241	937	946	854
0.0069	252	-2	-250	935	946	854
0.007	254	0	-254	934	946	854
0.0071	258	0	-258	933	947	853
0.0072	259	1	-259	931	947	853
0.0073	263	-1	-261	930	947	853
0.0074	262	4	-264	928	948	852
0.0075	264	4	-266	927	948	852
0.0076	275	7	-281	926	948	852
0.0077	268	2	-270	924	948	852
0.0078	272	8	-280	923	949	851
0.0079	277	9	-285	922	949	851
0.008	271	7	-277	920	949	851
0.0081	271	17	-287	919	949	851
0.0082	279	13	-291	918	949	851
0.0083	275	11	-285	916	949	850
0.0084	271	21	-291	915	950	850
0.0085	273	25	-297	913	950	850
0.0086	271	23	-293	912	950	850
0.0087	268	30	-296	911	950	850
0.0088	267	35	-301	909	950	850
0.0089	259	35	-293	908	950	850
0.009	256	40	-294	906	950	850
0.0091	248	48	-296	905	950	850
0.0092	248	50	-296	904	950	850
0.0093	238	54	-292	902	950	850
0.0094	231	61	-291	901	950	850
0.0095	223	59	-281	899	950	850
0.0096	218	66	-282	898	950	850
0.0097	214	64	-278	897	950	850
0.0098	203	71	-273	895	950	850
0.0099	198	76	-274	894	950	850
0.01	189	77	-265	892	950	850
0.0101	184	84	-266	891	950	850
0.0102	180	86	-264	890	950	850
0.0103	177	89	-265	888	950	850
