# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	-8	-2	10	854	883	945
0.0001	-3	3	1	854	883	945
0.0002	0	4	-2	854	883	945
0.0003	-6	-2	10	854	883	945
0.0004	-4	4	2	854	883	945
0.0005	0	2	-2	854	883	945
0.0006	-3	-5	9	854	883	945
0.0007	0	4	-4	854	883	945
0.0008	0	4	-2	854	883	945
0.0009	-8	0	10	854	883	945
0.001	-5	1	5	854	883	945
0.0011	-1	3	-1	854	883	945
0.0012	2	2	-4	854	883	945
0.0013	-6	4	4	854	883	945
0.0014	1	1	-1	854	883	945
0.0015	-8	-2	10	854	883	945
0.0016	-8	-2	10	854	883	945
0.0017	-5	-1	7	854	883	945
0.0018	-5	7	-1	854	883	945
0.0019	-2	4	-2	854	883	945
0.002	-2	4	-2	854	883	945
0.0021	-8	-2	10	854	883	945
0.0022	-6	2	4	854	883	945
0.0023	-1	3	-1	854	883	945
0.0024	-11	1	11	854	883	945
0.0025	-6	0	6	854	883	945
0.0026	-4	6	0	854	883	945
0.0027	-7	-1	9	854	883	945
0.0028	-4	0	4	854	883	945
0.0029	-1	3	-1	854	883	945
0.003	-8	0	8	854	883	945
0.0031	-4	2	4	854	883	945
0.0032	1	1	-1	854	883	945
0.0033	-2	-2	4	854	883	945
0.0034	-9	1	9	854	883	945
0.0035	-2	2	2	854	883	945
0.0036	-7	-3	11	854	883	945
0.0037	-4	0	4	854	883	945
0.0038	-2	4	0	854	883	945
0.0039	-3	-3	7	854	883	945
0.004	-6	2	4	854	883	945
0.0041	-2	4	0	854	883	945
0.0042	-5	1	5	854	883	945
0.0043	-4	4	2	854	883	945
0.0044	-2	4	0	854	883	945
0.0045	-2	-2	4	854	883	945
0.0046	-11	-1	13	854	883	945
0.0047	-2	2	0	854	883	945
0.0048	-8	-2	10	854	883	945
0.0049	-4	2	4	854	883	945
0.005	0	4	-2	854	883	945
0.0051	-6	-4	10	854	883	945
0.0052	-5	1	5	854	883	945
0.0053	-4	6	-2	854	883	945
0.0054	-2	-2	4	854	883	945
0.0055	-4	2	2	854	883	945
0.0056	-4	2	2	854	883	945
0.0057	-8	-2	10	854	883	945
0.0058	-6	2	6	854	883	945
0.0059	0	4	-2	854	883	945
0.006	-4	4	2	854	883	945
0.0061	-9	3	7	854	883	945
0.0062	0	2	-2	854	883	945
0.0063	-1	3	-1	854	883	945
0.0064	-8	4	4	854	883	945
0.0065	-4	0	6	854	883	945
0.0066	-8	0	10	854	883	945
0.0067	-4	0	6	854	883	945
0.0068	-1	3	-1	854	883	945
0.0069	-9	1	9	854	883	945
0.007	-2	4	-2	854	883	945
0.0071	-2	0	2	854	883	945
0.0072	-6	-2	10	854	883	945
0.0073	-4	0	6	854	883	945
0.0074	0	4	-2	854	883	945
0.0075	-5	-3	9	854	883	945
0.0076	-4	2	4	854	883	945
0.0077	2	2	-4	854	883	945
0.0078	-8	-2	10	854	883	945
0.0079	-8	0	10	854	883	945
0.008	-9	-1	11	854	883	945
0.0081	-9	1	9	854	883	945
0.0082	-6	2	6	854	883	945
0.0083	-6	2	4	854	883	945
0.0084	-8	0	10	854	883	945
0.0085	-1	5	-3	854	883	945
0.0086	-6	2	4	854	883	945
0.0087	-8	0	8	854	883	945
0.0088	-6	2	6	854	883	945
0.0089	-10	2	10	854	883	945
0.009	-10	2	10	854	883	945
0.0091	-6	2	6	854	883	945
0.0092	0	4	-2	854	883	945
0.0093	-8	0	10	854	883	945
0.0094	-4	4	2	854	883	945
0.0095	0	6	-4	854	883	945
0.0096	-7	1	7	854	883	945
0.0097	-5	-1	7	854	883	945
0.0098	0	4	-2	854	883	945
0.0099	-6	6	2	854	883	945
0.01	-8	2	6	854	883	945
0.0101	-4	2	2	854	883	945
0.0102	-8	-2	12	854	883	945
0.0103	-3	-1	5	854	883	945
0.0104	-9	-1	11	854	883	945
0.0105	-6	0	6	854	883	945
0.0106	-4	4	2	854	883	945
0.0107	-2	0	4	854	883	945
0.0108	-5	1	5	854	883	945
0.0109	-3	3	1	854	883	945
0.011	-21	-9	31	854	883	945
0.0111	-9	-1	11	854	883	945
0.0112	-4	4	2	854	883	945
0.0113	-4	6	-2	854	883	945
0.0114	-6	6	2	854	883	945
0.0115	-8	2	6	854	883	945
0.0116	-2	0	2	854	883	945
0.0117	-6	-2	8	854	883	945
0.0118	-8	4	4	854	883	945
