# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	-300	298	4	854	909	946
0.0001	-292	296	-2	854	908	946
0.0002	-298	296	4	854	907	946
0.0003	-294	296	0	854	906	946
0.0004	-284	292	-8	854	905	946
0.0005	-284	290	-4	853	904	946
0.0006	-286	284	2	853	902	946
0.0007	-285	283	3	853	901	946
0.0008	-271	281	-9	853	900	946
0.0009	-281	281	1	853	899	946
0.001	-266	274	-6	853	898	946
0.0011	-269	273	-3	853	896	946
0.0012	-269	273	-3	854	895	946
0.0013	-266	272	-6	854	894	946
0.0014	-258	266	-8	854	893	946
0.0015	-256	260	-4	854	892	946
0.0016	-254	256	-2	854	890	946
0.0017	-252	250	2	854	889	946
0.0018	-246	242	4	854	888	946
0.0019	-234	240	-4	854	887	946
0.002	-228	240	-10	854	886	946
0.0021	-232	230	2	854	885	946
0.0022	-225	229	-3	854	883	946
0.0023	-213	223	-9	854	882	945
0.0024	-222	216	6	855	881	945
0.0025	-219	215	5	855	880	945
0.0026	-206	210	-4	855	879	945
0.0027	-202	200	4	855	878	945
0.0028	-198	198	2	855	877	945
0.0029	-188	196	-6	856	875	944
0.003	-189	185	5	856	874	944
0.0031	-180	186	-6	856	873	944
0.0032	-172	176	-4	856	872	944
0.0033	-175	169	7	856	871	943
0.0034	-166	168	0	857	870	943
0.0035	-157	163	-5	857	869	943
0.0036	-157	151	7	857	868	943
0.0037	-152	150	4	858	866	942
0.0038	-142	144	0	858	866	942
0.0039	-139	129	11	858	865	942
0.004	-132	130	4	858	863	941
0.0041	-126	128	-2	859	862	941
0.0042	-126	118	8	859	861	941
0.0043	-123	117	7	859	860	941
0.0044	-107	111	-3	860	859	940
0.0045	-108	102	6	861	859	941
0.0046	-97	97	1	862	859	941
0.0047	-90	92	-2	863	859	941
0.0048	-90	84	8	864	858	942
0.0049	-90	80	10	865	858	942
0.005	-77	79	-1	866	858	942
0.0051	-76	68	8	867	857	943
0.0052	-70	66	4	868	857	943
0.0053	-70	58	12	870	857	943
0.0054	-63	55	9	870	856	943
0.0055	-54	50	4	872	856	944
0.0056	-52	44	10	873	856	944
0.0057	-44	38	6	874	856	944
0.0058	-39	35	5	875	856	944
0.0059	-29	33	-3	876	855	945
0.006	-30	24	8	877	855	945
0.0061	-24	26	0	878	855	945
0.0062	-18	20	-2	879	855	945
0.0063	-22	14	8	881	855	945
0.0064	-13	13	1	882	854	945
0.0065	-13	13	1	883	854	946
0.0066	-17	7	11	884	854	946
0.0067	-12	10	4	885	854	946
0.0068	-10	8	2	887	854	946
0.0069	-9	3	7	888	854	946
0.007	-10	8	4	889	854	946
0.0071	-6	8	0	890	854	946
0.0072	-8	6	2	891	854	946
0.0073	-10	8	4	892	853	946
0.0074	-8	10	0	894	853	947
0.0075	-10	8	2	894	853	947
0.0076	-10	8	4	896	853	947
0.0077	-5	1	5	897	853	947
0.0078	-4	10	-4	898	853	947
0.0079	-6	6	2	899	853	947
0.008	-14	6	8	900	853	947
0.0081	-8	2	8	902	853	947
0.0082	-6	4	4	903	853	947
0.0083	-4	4	0	904	853	947
0.0084	-7	1	7	905	853	947
0.0085	-4	4	2	906	853	947
0.0086	-4	4	0	907	853	946
0.0087	-5	-1	7	909	854	946
0.0088	-2	0	4	910	854	946
0.0089	-2	6	-4	911	854	946
0.009	-5	-3	9	912	854	946
0.0091	-10	2	8	913	854	946
0.0092	-1	-5	7	915	854	946
0.0093	-2	-4	6	916	854	946
0.0094	-1	3	-1	917	854	945
0.0095	2	2	-2	918	854	945
0.0096	1	-3	3	919	855	945
0.0097	-3	-3	7	921	855	945
0.0098	0	-6	6	922	855	945
0.0099	-9	-21	31	922	855	945
0.01	-19	-39	59	924	855	945
0.0101	-25	-53	79	925	856	944
0.0102	-23	-73	97	926	856	944
0.0103	-34	-88	122	927	856	944
0.0104	-35	-105	141	928	856	944
0.0105	-24	-126	150	930	856	943
0.0106	-24	-140	164	930	857	943
0.0107	-24	-152	176	932	857	943
0.0108	-21	-175	197	933	857	943
0.0109	-14	-188	202	934	858	942
0.011	-14	-198	212	935	858	942
0.0111	-12	-216	228	936	858	942
0.0112	-8	-226	236	937	858	942
0.0113	0	-242	244	938	859	941
0.0114	-2	-252	256	939	859	941
0.0115	-3	-261	265	940	859	940
0.0116	-1	-273	275	941	859	940
0.0117	-8	-280	290	941	859	939
0.0118	-8	-288	296	941	859	937
0.0119	-10	-298	308	941	858	937
0.012	-2	-308	312	942	858	935
0.0121	2	-310	310	942	858	934
0.0122	-6	-316	324	942	858	933
0.0123	0	-326	326	943	857	932
0.0124	2	-332	330	943	857	931
0.0125	4	-332	330	943	857	930
0.0126	0	-342	342	943	856	929
0.0127	7	-345	339	944	856	928
0.0128	6	-348	342	944	856	927
0.0129	2	-354	352	944	856	926
0.013	13	-357	345	944	856	925
0.0131	10	-362	354	945	855	923
0.0132	10	-360	350	945	855	922
0.0133	7	-369	363	945	855	921
0.0134	16	-372	356	945	855	920
0.0135	19	-371	353	945	855	919
0.0136	17	-373	357	945	855	918
0.0137	22	-374	352	946	854	917
0.0138	18	-378	360	946	854	916
0.0139	20	-376	356	946	854	914
0.014	26	-376	352	946	854	913
0.0141	32	-382	352	946	854	912
0.0142	32	-380	348	946	854	911
0.0143	36	-378	342	946	854	910
0.0144	37	-377	341	946	854	908
0.0145	43	-375	333	946	854	907
0.0146	47	-371	325	946	854	906
0.0147	44	-370	326	946	853	905
0.0148	44	-364	320	946	853	904
0.0149	55	-365	311	946	853	902
0.015	54	-360	306	947	853	901
0.0151	62	-356	294	947	853	900
0.0152	61	-353	293	946	853	899
0.0153	68	-356	288	947	853	898
0.0154	74	-344	272	946	853	896
0.0155	79	-341	263	946	853	895
0.0156	79	-341	263	946	854	894
0.0157	88	-334	248	946	854	893
0.0158	92	-330	238	946	854	892
0.0159	92	-328	236	946	854	891
0.016	91	-321	231	946	854	889
0.0161	102	-316	214	946	854	888
0.0162	103	-317	215	946	854	887
0.0163	110	-310	200	946	854	886
0.0164	114	-304	192	946	854	885
0.0165	120	-306	186	946	854	884
0.0166	120	-296	176	945	854	883
0.0167	125	-291	167	945	855	881
0.0168	130	-286	158	945	855	880
0.0169	126	-284	158	945	855	879
0.017	138	-278	142	945	855	878
0.0171	136	-276	142	945	855	877
0.0172	144	-274	132	944	856	876
0.0173	152	-274	124	944	856	875
0.0174	153	-271	119	944	856	874
0.0175	158	-264	106	944	856	872
0.0176	164	-262	100	943	856	871
0.0177	164	-262	100	943	857	870
0.0178	176	-252	76	943	857	869
0.0179	178	-254	76	943	857	868
0.018	180	-248	70	942	858	867
0.0181	184	-242	58	942	858	866
0.0182	195	-235	41	942	858	865
0.0183	197	-243	47	942	858	864
0.0184	200	-232	32	941	859	863
0.0185	210	-228	18	941	859	862
0.0186	212	-234	22	941	859	861
0.0187	214	-228	14	940	860	860
0.0188	215	-225	11	941	861	859
0.0189	218	-226	8	941	862	859
0.019	216	-222	8	941	863	859
0.0191	225	-221	-3	942	864	858
0.0192	222	-226	4	942	865	858
0.0193	221	-227	7	942	866	858
0.0194	230	-222	-6	943	867	857
0.0195	231	-231	1	943	868	857
0.0196	225	-225	1	943	869	857
0.0197	236	-228	-6	943	870	857
0.0198	234	-234	0	944	871	856
0.0199	232	-232	0	944	873	856
0.02	239	-229	-9	944	873	856
0.0201	235	-233	-1	944	875	856
0.0202	235	-227	-7	944	876	855
0.0203	238	-224	-12	945	877	855
0.0204	238	-234	-2	945	878	855
0.0205	238	-226	-12	945	879	855
0.0206	248	-228	-18	945	881	855
0.0207	240	-230	-8	945	882	855
0.0208	244	-226	-16	945	883	854
0.0209	250	-222	-26	946	884	854
0.021	243	-225	-17	946	885	854
0.0211	242	-218	-24	946	886	854
0.0212	248	-214	-34	946	887	854
0.0213	243	-219	-23	946	888	854
0.0214	248	-212	-36	946	890	854
0.0215	251	-209	-41	946	891	854
0.0216	244	-208	-34	946	892	854
0.0217	244	-202	-42	946	893	854
0.0218	245	-193	-51	946	894	853
0.0219	244	-196	-48	946	896	853
0.022	243	-191	-51	947	897	853
0.0221	246	-180	-64	947	898	853
0.0222	235	-177	-57	947	899	853
0.0223	236	-168	-66	947	900	853
0.0224	238	-162	-74	947	901	853
0.0225	236	-162	-74	947	903	853
0.0226	231	-153	-77	946	904	853
0.0227	233	-149	-83	946	905	853
0.0228	224	-140	-82	946	906	853
0.0229	218	-138	-80	946	907	854
0.023	225	-127	-97	946	909	854
0.0231	212	-126	-84	946	910	854
0.0232	211	-115	-95	946	911	854
0.0233	212	-110	-102	946	912	854
0.0234	205	-107	-97	946	913	854
0.0235	201	-99	-101	946	915	854
0.0236	202	-90	-112	946	916	854
0.0237	195	-89	-105	946	917	854
0.0238	191	-79	-111	945	918	855
0.0239	192	-76	-116	945	919	855
0.024	178	-68	-110	945	920	855
0.0241	179	-59	-119	945	921	855
0.0242	185	-57	-127	945	922	855
0.0243	180	-50	-128	945	923	855
0.0244	178	-46	-132	944	924	856
0.0245	182	-42	-138	944	926	856
0.0246	175	-35	-139	944	927	856
0.0247	171	-25	-145	944	927	856
0.0248	164	-20	-142	943	929	856
0.0249	172	-18	-152	943	930	857
0.025	170	-12	-158	943	931	857
0.0251	173	-7	-165	943	932	857
0.0252	171	-9	-161	942	933	857
0.0253	171	-3	-167	942	934	858
0.0254	182	-2	-180	942	935	858
0.0255	185	-7	-177	942	936	858
0.0256	186	-6	-180	941	937	859
0.0257	192	0	-190	941	938	859
0.0258	184	-2	-182	940	940	859
0.0259	195	-3	-191	940	940	860
0.026	194	0	-192	939	941	859
0.0261	200	0	-198	938	941	859
0.0262	198	-4	-192	937	941	859
0.0263	198	-2	-194	936	941	858
0.0264	198	-2	-194	935	942	858
0.0265	202	-2	-198	934	942	858
0.0266	203	7	-209	932	942	858
0.0267	201	-1	-199	932	943	857
0.0268	205	7	-211	931	943	857
0.0269	208	2	-210	929	943	857
0.027	210	-2	-206	928	943	856
0.0271	207	5	-211	927	944	856
0.0272	212	6	-218	926	944	856
0.0273	211	3	-213	925	944	856
0.0274	214	4	-218	924	944	856
0.0275	216	8	-222	923	945	855
0.0276	218	10	-228	922	945	855
0.0277	216	12	-226	920	945	855
0.0278	220	14	-232	919	945	855
0.0279	213	9	-221	918	945	855
0.028	214	14	-226	917	945	855
0.0281	218	20	-236	916	945	854
0.0282	218	18	-234	914	946	854
0.0283	212	24	-234	914	946	854
0.0284	216	24	-238	912	946	854
0.0285	214	34	-246	911	946	854
0.0286	204	30	-234	910	946	854
0.0287	196	36	-230	909	946	854
0.0288	202	36	-236	908	946	854
0.0289	195	41	-235	907	946	854
0.029	188	44	-232	905	946	854
0.0291	186	44	-228	904	946	854
0.0292	181	51	-231	903	946	854
0.0293	186	56	-240	902	946	854
