# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
0.0294	173	53	-225	901	946	854
0.0295	168	62	-228	899	946	854
0.0296	163	65	-227	898	946	854
0.0297	162	64	-224	897	946	853
0.0298	150	70	-218	896	946	854
0.0299	148	76	-222	895	946	854
0.03	138	80	-216	893	946	854
0.0301	138	82	-218	892	946	854
0.0302	130	86	-214	891	946	854
0.0303	120	84	-202	890	946	854
0.0304	117	95	-211	889	946	854
0.0305	112	94	-204	887	946	854
0.0306	101	95	-195	886	946	854
0.0307	101	99	-199	885	946	854
0.0308	96	104	-200	884	945	854
0.0309	90	102	-192	883	945	855
0.031	83	109	-191	882	945	855
0.0311	76	116	-192	880	945	855
0.0312	69	117	-185	879	945	855
0.0313	60	120	-180	878	945	855
0.0314	56	128	-184	877	944	855
0.0315	43	129	-171	876	944	856
0.0316	43	135	-177	875	944	856
0.0317	34	144	-176	874	944	856
0.0318	24	142	-166	872	944	856
0.0319	22	152	-174	871	943	857
0.032	18	156	-174	870	943	857
0.0321	10	158	-166	869	943	857
0.0322	8	166	-174	868	943	857
0.0323	12	170	-180	867	942	858
0.0324	10	168	-176	866	942	858
0.0325	6	174	-178	865	942	858
0.0326	7	179	-185	864	941	859
0.0327	5	181	-185	863	941	859
0.0328	7	187	-193	862	941	859
0.0329	6	190	-196	861	940	859
0.033	1	191	-191	860	940	860
0.0331	6	194	-198	859	941	861
0.0332	1	197	-197	859	941	862
