# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	29	-227	199	898	853	947
0.0001	30	-224	196	899	853	947
0.0002	40	-220	182	900	853	947
0.0003	39	-225	187	901	853	947
0.0004	47	-215	169	903	853	947
0.0005	50	-214	164	904	853	947
0.0006	56	-212	158	905	853	947
0.0007	59	-205	147	906	853	947
0.0008	66	-206	142	907	853	946
0.0009	67	-207	141	909	854	946
0.001	78	-202	126	910	854	946
0.0011	84	-200	116	911	854	946
0.0012	93	-203	111	912	854	946
0.0013	95	-195	101	913	854	946
0.0014	105	-199	95	915	854	946
0.0015	110	-194	84	916	854	946
0.0016	115	-191	77	917	854	946
0.0017	124	-190	66	918	854	945
0.0018	133	-187	55	919	855	945
0.0019	136	-186	52	921	855	945
0.002	141	-183	43	922	855	945
0.0021	148	-186	40	922	855	945
0.0022	157	-183	27	924	855	945
0.0023	162	-180	20	925	856	944
0.0024	170	-180	12	926	856	944
0.0025	174	-178	6	927	856	944
0.0026	182	-176	-4	928	856	944
0.0027	180	-178	0	930	856	943
0.0028	178	-178	0	930	857	943
0.0029	183	-177	-5	931	857	943
0.003	176	-180	6	933	857	943
0.0031	178	-178	2	934	858	942
0.0032	181	-173	-7	935	858	942
0.0033	175	-179	5	936	858	942
0.0034	178	-178	0	937	858	942
0.0035	183	-175	-7	938	859	941
0.0036	177	-181	5	939	859	941
0.0037	172	-178	6	940	860	940
0.0038	180	-172	-8	941	859	940
0.0039	176	-176	2	941	859	939
0.004	176	-172	-2	941	859	937
0.0041	177	-171	-5	941	858	937
0.0042	176	-174	-2	942	858	936
0.0043	172	-172	0	942	858	934
0.0044	176	-168	-8	942	858	933
0.0045	174	-172	-2	943	857	932
0.0046	172	-170	-2	943	857	931
0.0047	172	-162	-10	943	857	930
0.0048	164	-166	2	943	856	929
0.0049	160	-162	2	944	856	928
0.005	166	-158	-6	944	856	927
0.0051	163	-161	-1	944	856	926
0.0052	161	-155	-5	944	856	925
0.0053	165	-155	-9	945	855	923
0.0054	160	-150	-10	945	855	922
0.0055	160	-152	-6	945	855	921
0.0056	159	-147	-11	945	855	920
0.0057	155	-143	-11	945	855	919
0.0058	151	-143	-7	945	855	918
0.0059	148	-138	-8	946	854	917
0.006	148	-136	-12	946	854	916
0.0061	146	-132	-12	946	854	914
0.0062	141	-127	-13	946	854	913
0.0063	138	-130	-6	946	854	912
0.0064	131	-123	-7	946	854	911
0.0065	132	-118	-12	946	854	910
0.0066	129	-115	-13	946	854	908
0.0067	129	-113	-15	946	854	907
0.0068	127	-101	-25	946	854	906
0.0069	131	-101	-29	946	853	905
0.007	121	-93	-27	946	853	904
0.0071	125	-83	-41	946	853	902
0.0072	118	-82	-34	947	853	901
0.0073	115	-73	-41	947	853	900
0.0074	118	-66	-50	946	853	899
0.0075	112	-62	-48	947	853	898
0.0076	116	-56	-60	946	853	897
0.0077	117	-51	-65	946	853	895
0.0078	108	-44	-62	946	854	894
0.0079	110	-36	-74	946	854	893
0.008	109	-29	-79	946	854	892
0.0081	108	-18	-88	946	854	891
0.0082	109	-11	-97	946	854	889
0.0083	109	-7	-101	946	854	888
0.0084	114	-8	-106	946	854	887
0.0085	112	-4	-108	946	854	886
0.0086	119	1	-119	946	854	885
0.0087	119	-3	-115	946	854	884
0.0088	124	2	-124	945	854	883
0.0089	126	2	-128	945	855	882
0.009	125	-1	-123	945	855	880
0.0091	130	2	-130	945	855	879
0.0092	137	1	-137	945	855	878
0.0093	142	-2	-138	945	855	877
0.0094	137	1	-137	944	856	876
0.0095	143	-1	-141	944	856	875
0.0096	145	1	-145	944	856	874
0.0097	142	4	-146	944	856	872
0.0098	138	6	-142	943	856	871
0.0099	144	-2	-142	943	857	870
0.01	147	3	-149	943	857	869
0.0101	152	2	-152	943	857	868
0.0102	146	-4	-142	942	857	867
0.0103	152	4	-156	942	858	866
0.0104	149	3	-151	942	858	865
0.0105	142	0	-140	942	858	864
0.0106	152	-4	-146	941	859	863
0.0107	148	2	-150	941	859	862
0.0108	143	1	-143	941	859	861
0.0109	144	4	-148	940	860	860
0.011	148	6	-154	941	861	859
0.0111	148	6	-152	941	862	859
0.0112	149	5	-153	941	863	859
0.0113	145	9	-153	942	864	858
0.0114	143	3	-145	942	865	858
0.0115	143	9	-151	942	866	858
0.0116	145	11	-155	943	867	857
0.0117	137	7	-143	943	868	857
