# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	186	340	-526	881	945	855
0.0001	182	350	-532	880	945	855
0.0002	170	358	-526	879	945	855
0.0003	154	372	-524	878	945	855
0.0004	157	381	-537	878	945	855
0.0005	150	392	-542	877	944	856
0.0006	142	402	-544	876	944	856
0.0007	134	414	-546	875	944	856
0.0008	123	417	-539	874	944	856
0.0009	114	430	-544	873	944	856
0.001	112	442	-554	872	944	856
0.0011	102	446	-546	871	943	857
0.0012	88	458	-546	870	943	857
0.0013	82	468	-548	870	943	857
0.0014	74	470	-544	869	943	857
0.0015	71	487	-557	868	942	857
0.0016	60	494	-554	867	942	858
0.0017	58	496	-554	866	942	858
0.0018	45	509	-553	865	942	858
0.0019	40	514	-554	864	942	858
0.002	26	518	-542	863	941	859
0.0021	24	524	-546	862	941	859
0.0022	22	526	-548	861	941	859
0.0023	9	529	-537	861	940	859
0.0024	8	536	-542	860	940	860
0.0025	7	541	-547	860	940	860
0.0026	3	537	-539	859	941	861
0.0027	4	542	-544	859	941	862
0.0028	4	544	-548	859	941	863
0.0029	-2	544	-540	858	941	863
0.003	4	542	-546	858	942	864
0.0031	0	548	-546	858	942	865
0.0032	-2	538	-536	858	942	866
0.0033	-4	550	-544	857	942	867
0.0034	1	547	-547	857	943	868
0.0035	-8	544	-534	857	943	868
0.0036	-8	546	-538	857	943	869
0.0037	-5	545	-539	857	943	870
0.0038	-8	540	-530	856	944	871
0.0039	-6	542	-536	856	944	872
0.004	-5	545	-539	856	944	873
0.0041	-14	538	-522	856	944	874
0.0042	-14	544	-528	856	944	875
0.0043	-14	542	-526	855	944	876
0.0044	-21	535	-513	855	945	877
0.0045	-21	537	-515	855	945	877
0.0046	-26	540	-512	855	945	878
0.0047	-20	532	-512	855	945	879
0.0048	-32	536	-504	855	945	880
0.0049	-37	541	-503	855	945	881
0.005	-36	532	-496	855	945	882
0.0051	-44	542	-496	854	945	883
0.0052	-49	541	-491	854	946	884
0.0053	-56	538	-482	854	946	884
0.0054	-59	541	-481	854	946	885
0.0055	-67	543	-475	854	946	886
0.0056	-72	540	-468	854	946	887
0.0057	-78	548	-468	854	946	888
0.0058	-87	551	-463	854	946	889
0.0059	-102	548	-446	854	946	890
0.006	-97	551	-453	854	946	891
0.0061	-116	554	-436	854	946	892
0.0062	-118	548	-428	854	946	893
0.0063	-124	550	-426	854	946	894
0.0064	-131	555	-423	853	946	895
0.0065	-138	546	-406	853	946	896
0.0066	-148	548	-400	853	946	897
0.0067	-149	553	-403	853	946	897
0.0068	-166	552	-384	853	947	898
0.0069	-170	554	-384	853	946	899
0.007	-176	558	-380	853	947	900
0.0071	-194	558	-364	853	946	901
0.0072	-202	560	-358	853	946	902
0.0073	-201	559	-357	853	946	903
0.0074	-222	562	-338	853	946	904
