# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	-169	-353	523	922	855	945
0.0001	-114	-394	508	928	856	944
0.0002	-64	-432	498	933	857	942
0.0003	-22	-460	484	938	859	941
0.0004	6	-484	480	941	859	937
0.0005	20	-492	474	943	857	932
0.0006	37	-503	467	944	856	927
0.0007	61	-519	459	945	855	921
0.0008	89	-529	443	946	854	915
0.0009	120	-536	418	946	854	909
0.001	150	-544	394	947	853	903
0.0011	180	-548	370	947	853	897
0.0012	215	-549	335	946	854	891
0.0013	247	-549	303	946	854	885
0.0014	280	-550	270	945	855	880
0.0015	316	-544	230	944	856	874
0.0016	350	-532	184	943	857	869
0.0017	379	-527	149	941	859	863
0.0018	403	-509	107	941	861	859
0.0019	427	-493	67	942	866	858
0.002	454	-478	26	944	872	856
0.0021	469	-461	-7	945	877	855
0.0022	482	-442	-38	946	883	854
0.0023	485	-429	-55	946	889	854
0.0024	492	-402	-90	946	895	853
0.0025	500	-376	-124	947	901	853
0.0026	496	-350	-144	946	907	854
0.0027	494	-316	-178	946	913	854
0.0028	495	-277	-217	945	918	855
0.0029	480	-240	-238	944	924	855
0.003	466	-200	-266	943	929	857
0.0031	464	-150	-312	942	935	858
0.0032	435	-107	-327	940	940	859
0.0033	418	-54	-364	936	942	858
0.0034	402	-8	-392	930	943	857
0.0035	390	16	-406	925	944	856
0.0036	370	50	-418	919	945	855
0.0037	351	79	-429	913	946	854
0.0038	327	105	-431	907	946	854
0.0039	295	149	-443	901	946	854
0.004	264	188	-450	895	946	854
0.0041	223	223	-445	889	946	854
0.0042	176	272	-446	883	945	855
0.0043	132	320	-450	878	945	855
0.0044	67	363	-429	872	944	856
0.0045	9	415	-423	867	942	858
0.0046	-6	440	-434	861	941	859
0.0047	-35	455	-419	859	941	863
0.0048	-55	477	-421	857	943	868
0.0049	-75	491	-415	856	944	874
0.005	-114	506	-392	855	945	879
0.0051	-148	526	-378	854	946	885
0.0052	-176	546	-368	854	946	891
0.0053	-217	549	-331	853	946	897
0.0054	-261	567	-305	853	947	903
0.0055	-296	572	-276	854	946	909
0.0056	-334	572	-238	854	946	915
0.0057	-378	578	-200	855	945	920
