# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	112	-314	202	946	854	887
0.0001	117	-313	197	946	854	886
0.0002	114	-308	196	946	854	885
0.0003	122	-302	180	946	854	884
0.0004	131	-299	169	945	854	883
0.0005	130	-296	166	945	855	881
0.0006	128	-294	166	945	855	880
0.0007	134	-294	160	945	855	879
0.0008	146	-286	140	945	855	878
0.0009	147	-285	139	945	855	877
0.001	149	-281	133	944	856	876
0.0011	157	-275	119	944	856	875
0.0012	156	-274	120	944	856	874
0.0013	163	-273	111	944	856	872
0.0014	158	-266	108	943	856	871
0.0015	178	-260	82	943	857	870
0.0016	179	-261	83	943	857	869
0.0017	184	-252	70	943	857	868
0.0018	189	-247	59	942	858	867
0.0019	190	-252	64	942	858	866
0.002	199	-243	45	942	858	864
0.0021	207	-237	31	942	858	864
0.0022	202	-238	38	941	859	863
0.0023	207	-235	29	941	859	861
0.0024	220	-228	10	941	859	861
0.0025	214	-228	14	940	860	860
0.0026	221	-229	9	941	861	859
0.0027	226	-220	-4	941	862	859
0.0028	230	-228	0	941	863	858
0.0029	230	-230	2	942	864	858
0.003	232	-226	-4	942	865	858
0.0031	228	-234	8	942	866	858
0.0032	232	-226	-4	943	867	857
0.0033	238	-228	-8	943	868	857
0.0034	230	-234	4	943	869	857
0.0035	228	-226	0	943	870	857
0.0036	239	-229	-9	944	872	856
0.0037	234	-232	0	944	873	856
0.0038	234	-234	0	944	873	856
0.0039	242	-230	-12	944	875	856
0.004	236	-232	-4	944	876	855
0.0041	239	-231	-7	945	877	855
0.0042	244	-232	-12	945	878	855
0.0043	241	-233	-7	945	879	855
0.0044	237	-227	-9	945	881	855
0.0045	248	-224	-22	945	882	855
0.0046	240	-226	-12	946	883	854
0.0047	244	-222	-22	946	884	854
0.0048	250	-218	-32	946	885	854
0.0049	248	-222	-24	946	886	854
0.005	248	-218	-30	946	887	854
0.0051	255	-217	-37	946	888	854
0.0052	245	-213	-31	946	890	854
0.0053	247	-211	-35	946	891	854
0.0054	254	-204	-48	946	892	854
0.0055	247	-205	-41	946	893	854
0.0056	248	-198	-50	946	894	853
0.0057	250	-192	-56	946	896	853
0.0058	240	-182	-56	947	897	853
0.0059	239	-177	-61	947	898	853
0.006	244	-176	-66	947	899	853
0.0061	241	-169	-71	947	900	853
0.0062	231	-161	-69	947	902	853
0.0063	238	-158	-78	947	903	853
0.0064	230	-154	-76	946	904	853
0.0065	228	-144	-84	946	905	853
0.0066	230	-138	-92	946	906	853
0.0067	219	-135	-83	946	908	854
0.0068	216	-124	-90	946	909	854
0.0069	216	-124	-92	946	910	854
0.007	214	-116	-98	946	911	854
0.0071	214	-114	-100	946	912	854
0.0072	205	-99	-105	946	914	854
0.0073	198	-100	-98	946	915	854
0.0074	193	-91	-101	946	916	854
0.0075	200	-84	-114	946	917	854
