# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	-3	7	-3	854	883	945
0.0001	-1	-1	3	854	883	945
0.0002	-8	4	6	854	883	945
0.0003	-2	4	0	854	883	945
0.0004	-8	0	10	854	883	945
0.0005	0	4	-2	854	883	945
0.0006	-2	2	0	854	883	945
0.0007	-9	-1	11	854	883	945
0.0008	-6	2	4	854	883	945
0.0009	-2	4	-2	854	883	945
0.001	-12	4	8	854	883	945
0.0011	-10	2	8	854	883	945
0.0012	-2	4	0	854	883	945
0.0013	-7	1	7	854	883	945
0.0014	-9	3	7	854	883	945
0.0015	-3	1	3	854	883	945
0.0016	-4	4	2	854	883	945
0.0017	-8	0	10	854	883	945
0.0018	-2	0	2	854	883	945
0.0019	-8	4	4	854	883	945
0.002	-8	2	6	854	883	945
0.0021	0	2	0	854	883	945
0.0022	-7	-1	9	854	883	945
0.0023	-4	2	4	854	883	945
0.0024	-1	5	-3	854	883	945
0.0025	-7	1	7	854	883	945
0.0026	-6	2	6	854	883	945
0.0027	0	2	-2	854	883	945
0.0028	-6	-2	10	854	883	945
0.0029	-4	0	6	854	883	945
0.003	-1	3	-1	854	883	945
0.0031	-10	-2	12	854	883	945
0.0032	-5	3	3	854	883	945
0.0033	-2	4	0	854	883	945
0.0034	-8	0	10	854	883	945
0.0035	-16	14	4	854	883	945
0.0036	-1	9	-7	854	883	945
0.0037	-7	-1	9	854	883	945
0.0038	-6	2	6	854	883	945
0.0039	-4	4	2	854	883	945
0.004	-7	-1	9	854	883	945
0.0041	-9	1	9	854	883	945
0.0042	-2	4	0	854	883	945
0.0043	-6	0	8	854	883	945
0.0044	-4	2	4	854	883	945
0.0045	-3	3	1	854	883	945
0.0046	-2	-2	6	854	883	945
0.0047	-6	2	4	854	883	945
0.0048	-3	3	1	854	883	945
0.0049	-7	-1	9	854	883	945
0.005	-2	-2	4	854	883	945
0.0051	-2	6	-4	854	883	945
0.0052	-5	1	5	854	883	945
0.0053	-10	2	10	854	883	945
0.0054	-4	2	2	854	883	945
0.0055	-8	0	10	854	883	945
0.0056	-2	0	4	854	883	945
0.0057	-6	2	4	854	883	945
0.0058	-1	-3	5	854	883	945
0.0059	-8	2	8	854	883	945
0.006	0	4	-2	854	883	945
0.0061	-3	-1	5	854	883	945
0.0062	-7	1	7	854	883	945
0.0063	-4	2	2	854	883	945
0.0064	-9	-1	11	854	883	945
0.0065	-5	1	5	854	883	945
0.0066	-3	7	-3	854	883	945
0.0067	-10	2	10	854	883	945
0.0068	-7	1	7	854	883	945
0.0069	-6	4	4	854	883	945
0.007	-8	0	10	854	883	945
0.0071	-6	2	6	854	883	945
0.0072	-2	0	4	854	883	945
0.0073	-9	1	9	854	883	945
0.0074	-6	6	0	854	883	945
0.0075	-3	7	-3	854	883	945
0.0076	-5	-1	7	854	883	945
0.0077	-7	-1	9	854	883	945
0.0078	-5	1	5	854	883	945
0.0079	-9	-1	11	854	883	945
0.008	-6	2	6	854	883	945
0.0081	-2	4	-2	854	883	945
0.0082	-7	-1	9	854	883	945
