# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	-268	-78	346	896	853	947
0.0001	-273	-91	365	897	853	947
0.0002	-273	-97	371	898	853	947
0.0003	-268	-110	380	899	853	947
0.0004	-269	-113	383	901	853	947
0.0005	-270	-118	388	902	853	947
0.0006	-268	-126	394	903	853	947
0.0007	-261	-131	393	904	853	947
0.0008	-259	-143	403	905	853	947
0.0009	-254	-142	398	907	853	946
0.001	-243	-153	397	908	853	946
0.0011	-238	-162	402	909	854	946
0.0012	-232	-172	404	910	854	946
0.0013	-224	-176	402	911	854	946
0.0014	-219	-185	405	913	854	946
0.0015	-217	-193	411	914	854	946
0.0016	-204	-202	408	915	854	946
0.0017	-199	-215	415	916	854	946
0.0018	-182	-226	410	917	854	946
0.0019	-176	-228	406	919	855	945
0.002	-174	-240	414	920	855	945
0.0021	-160	-250	412	921	855	945
0.0022	-148	-254	404	922	855	945
0.0023	-141	-271	413	923	855	945
0.0024	-136	-270	406	924	855	945
0.0025	-124	-280	406	925	856	944
0.0026	-119	-299	419	926	856	944
0.0027	-107	-299	407	928	856	944
0.0028	-96	-302	400	929	856	944
0.0029	-93	-315	409	930	856	943
0.003	-82	-324	406	931	857	943
0.0031	-73	-331	405	932	857	943
0.0032	-62	-340	402	933	857	942
0.0033	-61	-343	405	934	858	942
0.0034	-42	-346	390	935	858	942
0.0035	-43	-359	403	936	858	942
0.0036	-35	-361	397	937	859	941
0.0037	-23	-367	391	938	859	941
0.0038	-24	-378	402	939	859	941
0.0039	-16	-380	398	940	859	940
0.004	-12	-384	396	941	859	939
0.0041	-9	-391	401	941	859	938
0.0042	-6	-396	402	941	859	937
0.0043	-4	-396	400	942	858	936
0.0044	-13	-403	417	942	858	935
0.0045	-6	-406	412	942	858	934
0.0046	-2	-408	412	942	857	933
0.0047	-2	-420	424	943	857	932
0.0048	-3	-419	423	943	857	931
0.0049	-2	-422	426	943	857	930
0.005	-4	-428	432	943	856	929
0.0051	0	-430	430	944	856	927
0.0052	5	-433	429	944	856	927
0.0053	1	-433	433	944	856	925
0.0054	2	-434	432	944	856	924
0.0055	6	-434	428	945	855	923
0.0056	-2	-436	440	945	855	922
0.0057	2	-438	438	945	855	921
0.0058	10	-436	428	945	855	919
0.0059	5	-433	429	945	855	918
0.006	8	-434	428	945	855	918
0.0061	7	-431	425	946	854	916
0.0062	8	-426	418	946	854	915
0.0063	4	-424	422	946	854	914
0.0064	14	-422	410	946	854	913
0.0065	8	-424	418	946	854	912
0.0066	6	-418	414	946	854	910
0.0067	12	-418	408	946	854	909
0.0068	12	-416	404	946	854	908
0.0069	16	-414	400	946	854	907
0.007	16	-406	390	946	854	906
0.0071	21	-405	385	946	853	904
0.0072	21	-399	379	947	853	903
0.0073	24	-398	376	946	853	902
0.0074	31	-399	369	947	853	901
0.0075	34	-392	360	947	853	900
0.0076	38	-382	346	946	853	899
0.0077	35	-387	353	947	853	897
0.0078	44	-378	334	946	853	896
0.0079	50	-376	328	946	854	895
0.008	54	-376	324	946	854	894
0.0081	50	-372	322	946	854	893
0.0082	59	-367	309	946	854	891
0.0083	62	-368	308	946	854	890
0.0084	65	-365	301	946	854	889
0.0085	74	-356	282	946	854	888
0.0086	72	-356	286	946	854	887
0.0087	71	-351	281	946	854	885
0.0088	91	-351	261	946	854	885
0.0089	90	-346	258	946	854	884
0.009	95	-343	249	945	855	882
0.0091	104	-346	244	945	855	881
0.0092	106	-344	240	945	855	880
0.0093	116	-344	230	945	855	879
0.0094	125	-347	223	945	855	878
0.0095	132	-344	212	945	855	876
0.0096	137	-341	205	944	856	876
0.0097	143	-333	191	944	856	875
0.0098	151	-339	189	944	856	873
0.0099	152	-330	180	944	856	872
0.01	158	-328	170	943	857	871
0.0101	167	-331	165	943	857	870
0.0102	170	-326	158	943	857	869
0.0103	182	-326	144	943	857	868
0.0104	182	-326	144	942	858	867
0.0105	193	-323	131	942	858	865
0.0106	206	-320	116	942	858	864
0.0107	202	-322	120	942	858	864
0.0108	204	-318	114	941	859	862
0.0109	222	-310	90	941	859	861
0.011	220	-314	94	941	859	861
0.0111	227	-317	91	940	860	859
0.0112	241	-311	71	941	861	859
0.0113	243	-313	71	941	862	859
0.0114	251	-311	61	941	863	858
0.0115	260	-316	56	942	864	858
0.0116	258	-314	56	942	865	858
0.0117	273	-313	41	942	866	858
0.0118	271	-315	45	943	868	857
0.0119	284	-318	36	943	868	857
0.012	290	-316	28	943	869	857
0.0121	291	-315	25	943	871	856
0.0122	298	-318	22	944	872	856
0.0123	306	-316	12	944	873	856
0.0124	306	-316	10	944	874	856
0.0125	311	-319	9	944	875	856
0.0126	319	-319	1	945	876	855
0.0127	319	-321	3	945	877	855
0.0128	323	-325	3	945	878	855
0.0129	330	-324	-4	945	880	855
0.013	321	-325	5	945	881	855
0.0131	327	-323	-3	945	882	855
0.0132	329	-321	-7	946	883	854
0.0133	330	-322	-8	946	884	854
0.0134	326	-324	-2	946	885	854
0.0135	328	-312	-14	946	886	854
0.0136	330	-312	-18	946	887	854
0.0137	329	-315	-13	946	889	854
0.0138	326	-308	-18	946	890	854
0.0139	324	-300	-24	946	891	854
0.014	322	-300	-20	946	892	854
0.0141	319	-291	-27	946	893	854
0.0142	317	-287	-29	946	895	853
0.0143	316	-280	-34	946	896	853
0.0144	313	-277	-35	947	897	853
0.0145	314	-272	-42	947	898	853
0.0146	304	-268	-36	947	899	853
0.0147	307	-263	-43	947	901	853
0.0148	308	-258	-48	947	902	853
0.0149	306	-254	-50	947	903	853
0.015	294	-246	-48	946	904	853
0.0151	297	-239	-57	946	905	853
0.0152	290	-236	-52	946	907	854
0.0153	294	-226	-66	946	908	854
0.0154	286	-214	-70	946	909	854
0.0155	288	-214	-74	946	910	854
0.0156	282	-206	-74	946	911	854
0.0157	278	-196	-82	946	913	854
0.0158	274	-192	-80	946	914	854
0.0159	276	-184	-92	946	915	854
0.016	271	-173	-97	946	916	854
0.0161	274	-164	-108	946	917	854
0.0162	270	-156	-112	945	918	855
0.0163	269	-151	-117	945	919	855
0.0164	268	-144	-124	945	920	855
0.0165	267	-131	-135	945	921	855
0.0166	270	-126	-142	945	922	855
0.0167	266	-116	-148	945	923	855
0.0168	268	-114	-154	944	925	856
0.0169	255	-101	-153	944	926	856
0.017	258	-96	-162	944	927	856
0.0171	258	-84	-172	944	928	856
0.0172	260	-76	-184	943	929	856
0.0173	260	-66	-192	943	930	857
0.0174	255	-59	-195	943	931	857
0.0175	257	-51	-205	943	932	857
0.0176	254	-46	-208	942	933	858
0.0177	250	-34	-214	942	934	858
