# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	-371	665	-293	854	946	893
0.0001	-389	665	-275	853	946	896
0.0002	-414	656	-240	853	947	899
0.0003	-441	653	-211	853	947	902
0.0004	-467	649	-181	853	946	905
0.0005	-494	648	-154	854	946	908
0.0006	-515	633	-117	854	946	911
0.0007	-548	624	-74	854	946	914
0.0008	-567	617	-49	854	946	916
0.0009	-592	602	-10	855	945	919
0.001	-606	602	4	855	945	922
0.0011	-611	601	11	856	944	925
0.0012	-624	594	30	856	944	928
0.0013	-630	590	42	857	943	930
0.0014	-632	586	48	858	942	933
0.0015	-648	576	72	858	942	936
0.0016	-652	562	92	859	941	938
0.0017	-652	556	98	859	939	940
0.0018	-664	534	130	859	937	941
0.0019	-666	524	144	858	934	942
0.002	-670	506	164	857	931	943
0.0021	-680	482	200	857	929	943
0.0022	-676	460	216	856	926	944
0.0023	-682	440	244	855	923	944
0.0024	-688	408	280	855	920	945
0.0025	-688	382	308	855	917	945
0.0026	-688	354	334	854	914	946
0.0027	-691	317	375	854	911	946
0.0028	-680	280	402	854	909	946
0.0029	-683	249	435	854	906	946
0.003	-680	204	476	853	903	946
0.0031	-676	166	510	853	900	946
0.0032	-672	126	546	853	897	946
0.0033	-668	82	588	854	894	946
0.0034	-656	42	616	854	891	946
0.0035	-647	11	637	854	888	946
0.0036	-650	-6	656	854	885	946
0.0037	-646	-6	652	854	882	945
0.0038	-642	-10	652	855	879	945
0.0039	-640	-22	664	855	877	945
0.004	-640	-32	674	856	874	944
0.0041	-621	-45	667	856	871	943
0.0042	-613	-65	679	857	868	943
0.0043	-606	-80	686	858	866	942
0.0044	-591	-93	685	859	863	941
0.0045	-581	-121	703	859	860	941
0.0046	-564	-142	706	861	859	941
0.0047	-544	-166	710	864	858	942
0.0048	-532	-190	724	867	857	943
0.0049	-508	-218	726	870	857	943
0.005	-484	-246	732	872	856	944
0.0051	-467	-277	745	875	856	944
0.0052	-448	-302	752	878	855	945
0.0053	-419	-329	749	881	855	945
0.0054	-400	-356	758	884	854	946
0.0055	-364	-386	750	887	854	946
0.0056	-333	-415	749	890	854	946
0.0057	-304	-440	746	893	853	946
0.0058	-274	-470	746	895	853	946
0.0059	-242	-500	742	898	853	947
0.006	-204	-526	732	901	853	947
0.0061	-178	-556	734	904	853	947
0.0062	-143	-581	725	907	853	946
0.0063	-109	-611	721	910	854	946
0.0064	-74	-630	704	913	854	946
0.0065	-34	-652	688	916	854	946
0.0066	-10	-676	686	919	855	945
0.0067	0	-684	684	922	855	945
0.0068	11	-691	681	924	855	944
0.0069	18	-702	684	927	856	944
0.007	28	-704	678	930	857	943
0.0071	32	-712	680	933	857	943
0.0072	49	-719	671	935	858	942
0.0073	64	-722	658	938	859	941
0.0074	85	-723	639	940	860	940
0.0075	96	-726	632	941	859	937
0.0076	109	-723	615	942	858	935
0.0077	132	-720	588	943	857	932
0.0078	150	-722	572	943	857	929
0.0079	180	-718	538	944	856	927
0.008	201	-713	513	944	855	924
0.0081	218	-714	498	945	855	921
0.0082	241	-705	465	945	855	918
0.0083	266	-700	434	946	854	915
0.0084	288	-688	400	946	854	913
0.0085	310	-690	380	946	854	910
0.0086	334	-676	344	946	854	907
0.0087	358	-668	312	946	853	904
0.0088	382	-660	278	947	853	901
0.0089	404	-642	240	947	853	898
0.009	428	-634	206	946	854	895
0.0091	446	-622	178	946	854	892
0.0092	471	-609	139	946	854	889
0.0093	493	-595	103	946	854	886
0.0094	512	-580	68	945	854	883
0.0095	538	-564	28	945	855	880
0.0096	548	-560	14	945	855	877
0.0097	557	-555	-1	944	856	875
0.0098	560	-558	0	944	856	872
0.0099	565	-557	-7	943	857	869
0.01	572	-552	-20	942	858	866
0.0101	582	-548	-32	942	858	864
0.0102	580	-538	-40	941	859	861
0.0103	586	-526	-60	941	861	859
0.0104	590	-504	-84	942	863	858
0.0105	590	-498	-90	942	866	858
0.0106	594	-478	-116	943	869	857
0.0107	594	-460	-134	944	872	856
0.0108	596	-440	-156	944	875	856
0.0109	602	-418	-184	945	877	855
0.011	602	-392	-208	945	880	855
0.0111	602	-370	-230	945	883	854
0.0112	590	-340	-250	946	885	854
0.0113	595	-311	-283	946	888	854
0.0114	594	-292	-302	946	891	854
0.0115	593	-261	-331	946	894	853
0.0116	586	-230	-356	947	897	853
0.0117	575	-201	-373	947	900	853
0.0118	567	-169	-397	947	903	853
0.0119	563	-139	-423	946	906	853
0.012	548	-106	-442	946	909	854
0.0121	542	-74	-466	946	912	854
0.0122	539	-45	-493	946	915	854
0.0123	525	-17	-507	945	918	855
0.0124	514	0	-514	945	921	855
0.0125	514	6	-520	945	923	855
0.0126	508	22	-530	944	926	856
0.0127	496	30	-524	943	929	856
0.0128	495	39	-533	943	932	857
0.0129	486	52	-538	942	934	858
0.013	476	68	-542	941	937	859
0.0131	468	80	-548	940	940	859
0.0132	447	99	-545	938	941	859
0.0133	434	118	-552	936	942	858
0.0134	420	142	-560	933	942	858
0.0135	401	153	-553	931	943	857
0.0136	388	180	-566	928	944	856
0.0137	363	201	-563	925	944	856
0.0138	350	218	-566	922	945	855
0.0139	328	242	-570	919	945	855
0.014	298	272	-568	916	945	855
0.0141	281	289	-569	914	946	854
0.0142	250	316	-564	910	946	854
0.0143	232	342	-574	908	946	854
0.0144	207	357	-563	905	946	854
0.0145	174	392	-564	902	946	854
0.0146	150	416	-564	899	946	854
0.0147	116	432	-546	896	946	854
0.0148	86	460	-546	893	946	854
0.0149	60	484	-542	890	946	854
0.015	24	500	-522	887	946	854
0.0151	1	523	-523	884	945	854
0.0152	-8	536	-526	881	945	855
0.0153	-21	545	-523	878	945	855
0.0154	-27	559	-531	875	944	856
0.0155	-34	570	-536	872	944	856
0.0156	-55	577	-521	870	943	857
0.0157	-64	592	-526	867	942	858
0.0158	-80	606	-524	864	942	858
0.0159	-98	616	-518	862	941	859
