# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	170	-424	256	926	874	913
0.0001	171	-423	253	926	874	913
0.0002	175	-421	247	926	873	912
0.0003	170	-424	254	926	873	912
0.0004	176	-424	250	926	873	912
0.0005	178	-424	246	926	873	912
0.0006	175	-427	253	926	873	912
0.0007	176	-426	250	926	873	912
0.0008	178	-424	246	926	873	912
0.0009	175	-429	255	926	873	912
0.001	180	-420	240	926	873	912
0.0011	184	-424	242	927	873	912
0.0012	178	-430	254	927	873	912
0.0013	185	-427	243	927	873	912
0.0014	188	-430	244	927	873	912
0.0015	186	-436	250	927	873	912
0.0016	186	-430	244	927	873	912
0.0017	190	-430	242	927	873	912
0.0018	186	-434	248	927	873	912
0.0019	192	-428	238	927	873	911
0.002	191	-433	243	927	873	911
0.0021	189	-435	247	927	873	911
0.0022	194	-430	238	927	873	911
0.0023	197	-429	233	927	873	911
0.0024	202	-434	234	927	873	911
0.0025	198	-430	234	927	873	911
0.0026	201	-429	229	927	873	911
0.0027	197	-431	235	927	873	911
0.0028	200	-430	230	927	873	911
0.0029	206	-430	224	927	873	911
0.003	199	-433	235	927	873	911
0.0031	197	-431	235	927	873	911
0.0032	209	-431	223	927	873	910
0.0033	203	-437	235	927	873	910
0.0034	205	-431	227	927	873	910
0.0035	208	-430	222	927	873	910
0.0036	207	-435	229	927	873	910
0.0037	200	-430	230	927	873	910
0.0038	212	-430	218	927	873	910
0.0039	210	-436	228	927	873	910
0.004	208	-428	220	927	873	910
0.0041	215	-431	217	927	873	910
0.0042	210	-434	226	927	873	910
0.0043	212	-430	218	927	873	910
0.0044	218	-428	212	927	873	910
0.0045	212	-434	222	927	873	910
0.0046	212	-430	220	927	873	910
0.0047	219	-429	211	927	873	910
0.0048	213	-433	221	927	873	909
0.0049	218	-430	214	927	873	909
0.005	224	-428	206	927	873	909
0.0051	219	-435	217	927	873	909
0.0052	219	-429	211	927	873	909
0.0053	225	-429	205	927	873	909
0.0054	218	-430	214	927	873	909
0.0055	225	-429	205	927	873	909
0.0056	224	-430	208	927	873	909
0.0057	224	-432	208	927	873	909
0.0058	220	-432	212	927	873	909
0.0059	230	-430	202	927	873	909
0.006	224	-434	210	927	873	909
0.0061	226	-430	204	927	873	908
0.0062	230	-434	206	927	873	908
0.0063	235	-433	199	927	873	908
0.0064	229	-431	203	927	873	908
0.0065	230	-434	206	927	873	908
0.0066	232	-432	202	927	873	908
0.0067	231	-427	197	927	873	908
0.0068	230	-422	194	927	873	908
0.0069	232	-434	202	927	873	908
0.007	228	-428	202	927	873	908
0.0071	230	-428	200	927	873	908
0.0072	232	-428	198	927	873	908
0.0073	234	-432	198	927	873	908
0.0074	236	-422	188	927	873	907
0.0075	235	-431	197	927	873	907
0.0076	235	-427	193	927	873	907
0.0077	238	-422	186	927	873	907
0.0078	234	-426	194	927	873	907
0.0079	236	-428	192	927	873	907
0.008	240	-424	186	927	873	907
0.0081	240	-422	182	927	873	907
0.0082	244	-426	184	927	873	907
0.0083	244	-424	182	927	873	907
0.0084	242	-420	180	927	873	907
0.0085	234	-422	188	927	873	907
0.0086	244	-420	176	927	873	907
0.0087	243	-423	181	927	873	907
0.0088	241	-425	185	927	873	907
0.0089	248	-426	180	927	873	907
0.009	245	-427	183	927	873	906
0.0091	246	-424	178	927	873	906
0.0092	244	-424	182	927	873	906
0.0093	250	-426	176	927	873	906
0.0094	240	-418	180	927	873	906
0.0095	249	-419	171	927	873	906
0.0096	249	-425	177	927	873	906
0.0097	247	-423	177	927	873	906
0.0098	254	-418	166	927	873	906
0.0099	250	-424	176	927	873	906
0.01	251	-423	173	927	873	906
0.0101	256	-424	168	927	873	906
0.0102	252	-426	174	927	873	906
