# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	9	497	-505	854	946	862
0.0001	11	497	-507	854	946	863
0.0002	0	508	-508	854	946	865
0.0003	-6	512	-506	853	946	865
0.0004	-2	510	-508	853	947	866
0.0005	-6	516	-508	853	947	868
0.0006	-4	516	-510	853	947	869
0.0007	-2	516	-514	852	948	870
0.0008	-4	522	-518	852	948	871
0.0009	-6	522	-516	852	948	872
0.001	-8	518	-508	852	948	873
0.0011	-9	519	-509	851	948	875
0.0012	-4	518	-512	851	949	876
0.0013	-10	518	-506	851	949	877
0.0014	-16	514	-496	851	949	878
0.0015	-15	521	-505	851	949	880
0.0016	-18	514	-494	851	949	881
0.0017	-18	512	-494	850	949	882
0.0018	-21	511	-489	850	950	883
0.0019	-28	506	-478	850	950	885
0.002	-24	506	-482	850	950	886
0.0021	-28	508	-478	850	950	887
0.0022	-38	500	-460	850	950	888
0.0023	-40	504	-464	850	950	890
0.0024	-44	502	-458	850	950	891
0.0025	-49	493	-443	850	950	893
0.0026	-54	498	-442	849	950	894
0.0027	-53	493	-439	849	950	895
0.0028	-64	488	-424	849	950	896
0.0029	-82	494	-412	849	950	897
0.003	-81	497	-415	849	950	898
0.0031	-94	494	-400	849	950	900
0.0032	-98	496	-396	849	950	901
0.0033	-104	498	-392	849	950	903
0.0034	-120	490	-370	849	950	904
0.0035	-125	495	-369	849	950	905
0.0036	-131	499	-367	850	950	907
0.0037	-146	494	-346	850	950	908
0.0038	-152	496	-342	850	950	909
0.0039	-160	496	-336	850	950	910
0.004	-166	494	-326	850	950	911
0.0041	-182	498	-316	850	950	913
0.0042	-188	498	-310	850	950	914
0.0043	-199	495	-295	850	950	915
0.0044	-218	504	-286	850	950	917
0.0045	-217	503	-285	851	949	918
0.0046	-234	502	-266	851	949	919
0.0047	-244	502	-256	851	949	920
0.0048	-250	508	-256	851	949	921
0.0049	-264	504	-240	851	949	923
0.005	-275	509	-233	851	949	924
0.0051	-287	513	-225	852	948	926
0.0052	-307	513	-205	852	948	927
0.0053	-318	516	-196	852	948	928
0.0054	-328	516	-188	852	948	929
0.0055	-344	528	-182	853	947	930
0.0056	-358	528	-168	853	947	931
0.0057	-366	534	-168	853	947	933
0.0058	-383	537	-153	853	947	934
0.0059	-394	546	-152	854	946	935
0.006	-402	552	-148	854	946	936
0.0061	-417	557	-139	854	946	937
0.0062	-429	557	-127	855	945	939
0.0063	-440	562	-120	855	945	940
0.0064	-450	558	-108	855	945	941
0.0065	-465	565	-99	856	944	942
0.0066	-473	563	-89	856	944	943
0.0067	-489	569	-79	856	943	944
0.0068	-492	564	-72	856	942	944
0.0069	-500	566	-64	855	941	944
0.007	-507	565	-57	855	940	945
0.0071	-519	559	-39	855	939	945
0.0072	-523	561	-37	854	937	946
0.0073	-528	546	-16	854	936	946
0.0074	-540	548	-6	854	935	946
0.0075	-535	549	-13	853	934	946
0.0076	-540	542	-2	853	933	947
0.0077	-543	547	-3	853	931	947
0.0078	-538	548	-8	853	930	947
0.0079	-543	547	-3	852	929	947
0.008	-536	546	-8	852	928	948
0.0081	-536	546	-8	852	927	948
0.0082	-538	540	0	852	926	948
0.0083	-536	542	-6	851	924	948
0.0084	-533	541	-7	851	923	949
0.0085	-533	531	3	851	922	949
0.0086	-524	530	-4	851	921	949
0.0087	-522	532	-8	851	920	949
