# Time [sec]	c.abc.A	c.abc.B	c.abc.C	duty.A	duty.B	duty.C
------------	-------	-------	-------	------	------	------
0	24	-334	312	946	854	908
0.0001	63	-351	289	946	853	896
0.0002	102	-370	268	946	854	885
0.0003	137	-385	249	944	856	874
0.0004	181	-387	207	941	859	863
0.0005	224	-390	168	943	867	857
0.0006	263	-381	119	945	878	855
0.0007	298	-362	64	946	890	854
0.0008	319	-341	23	947	902	853
0.0009	334	-320	-14	946	913	854
0.001	344	-284	-58	944	924	856
0.0011	338	-248	-90	942	935	858
0.0012	330	-204	-126	935	942	858
0.0013	312	-146	-164	924	944	856
0.0014	271	-79	-191	912	946	854
0.0015	243	-21	-221	900	946	854
0.0016	208	36	-242	889	946	854
0.0017	169	87	-255	877	944	855
0.0018	108	138	-246	866	942	858
0.0019	46	200	-244	858	942	864
0.002	-3	251	-247	856	944	875
0.0021	-49	287	-237	854	946	886
0.0022	-86	320	-232	853	946	897
0.0023	-132	354	-222	854	946	909
0.0024	-181	369	-187	855	945	921
0.0025	-236	392	-154	857	943	932
0.0026	-284	404	-120	859	938	941
0.0027	-332	398	-66	856	927	944
0.0028	-374	394	-20	854	916	946
0.0029	-396	378	20	853	904	946
0.003	-412	348	64	854	892	946
0.0031	-414	314	102	855	880	945
0.0032	-402	264	140	857	869	943
0.0033	-386	196	190	861	859	941
0.0034	-362	130	234	871	856	944
0.0035	-313	55	259	882	854	946
0.0036	-289	-9	299	894	853	947
0.0037	-261	-53	315	906	853	947
0.0038	-218	-102	322	918	854	946
0.0039	-174	-160	336	929	856	944
0.004	-116	-214	330	940	859	941
0.0041	-54	-260	314	943	857	931
0.0042	-13	-305	319	945	855	919
0.0043	20	-330	312	946	854	908
0.0044	64	-350	288	946	853	896
0.0045	97	-369	273	946	854	884
0.0046	137	-379	243	944	856	873
0.0047	187	-383	197	941	859	862
0.0048	226	-388	164	943	868	857
0.0049	256	-376	122	945	879	855
0.005	302	-360	58	946	890	854
0.0051	321	-339	19	947	902	853
0.0052	333	-315	-17	946	914	854
0.0053	346	-286	-60	944	925	856
0.0054	343	-249	-93	942	936	858
0.0055	327	-197	-129	934	942	858
0.0056	314	-142	-170	923	944	856
0.0057	274	-84	-190	912	946	854
0.0058	238	-14	-222	900	946	854
0.0059	202	34	-236	888	946	854
0.006	168	88	-254	877	944	856
0.0061	108	142	-248	866	942	858
0.0062	50	202	-250	858	942	864
0.0063	0	246	-246	856	944	875
0.0064	-44	290	-244	854	946	886
0.0065	-85	327	-241	853	947	898
0.0066	-134	346	-212	854	946	910
0.0067	-185	377	-191	855	945	921
0.0068	-232	388	-156	857	942	933
0.0069	-288	396	-106	859	937	941
0.007	-333	405	-71	856	926	944
0.0071	-373	391	-17	854	915	946
0.0072	-398	370	28	854	903	946
0.0073	-403	343	61	854	892	946
0.0074	-406	306	100	855	880	945
0.0075	-404	252	152	857	869	943
0.0076	-373	195	179	861	859	941
0.0077	-351	127	225	872	856	944
0.0078	-321	47	275	883	854	946
0.0079	-286	-12	300	894	853	947
0.008	-244	-64	310	906	853	947
0.0081	-220	-102	324	918	854	945
0.0082	-171	-159	331	930	856	943
0.0083	-110	-212	324	940	859	940
0.0084	-59	-267	327	943	857	930
0.0085	-5	-303	309	945	855	919
0.0086	29	-331	303	946	854	907
0.0087	58	-354	296	946	853	895
0.0088	102	-370	270	946	854	884
0.0089	148	-384	236	944	856	872
0.009	192	-394	204	941	859	861
0.0091	230	-390	160	943	868	857
0.0092	272	-376	106	945	879	855
0.0093	306	-358	54	946	891	854
0.0094	324	-338	14	947	903	853
0.0095	340	-314	-24	946	915	854
0.0096	345	-279	-65	944	926	856
0.0097	342	-242	-98	941	937	858
0.0098	327	-191	-135	934	942	858
0.0099	309	-141	-167	923	945	855
0.01	277	-75	-201	911	946	854
0.0101	244	-16	-228	899	946	854
0.0102	200	34	-234	887	946	854
0.0103	162	90	-250	876	944	856
0.0104	107	147	-253	865	942	858
0.0105	43	203	-245	858	942	865
0.0106	-10	256	-246	855	944	876
0.0107	-49	295	-245	854	946	887
0.0108	-90	320	-230	853	947	899
0.0109	-140	350	-210	854	946	911
0.011	-188	376	-188	855	945	922
0.0111	-240	388	-148	858	942	933
0.0112	-290	402	-110	859	937	941
0.0113	-335	401	-65	856	926	944
0.0114	-378	386	-6	854	914	946
0.0115	-398	374	24	853	903	946
0.0116	-404	348	58	854	891	946
0.0117	-406	302	104	855	879	945
